MaizeGDB: Details of Map Genetic 2
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
Zm00001d002028	14.58		GRMZM2G386525	Chr2	4699297	4702698	Zm00001d002028	Chr2	4663113	4666196	Zm00001eb068040	chr2	4925777	4928552																																	
zim32	14.60		GRMZM2G086920	Chr2	4702643	4706609	Zm00001d002029	Chr2	4666311	4670063	Zm00001eb068050	chr2	4928914	4932716																																	
LOC100382719	14.69		GRMZM5G880265	Chr2	4826294	4837080	Zm00001d002032	Chr2	4794172	4806276	Zm00001eb068080	chr2	5064334	5068050																																	
bnlg1297	14.98																																														
pco102923	16.40		GRMZM2G032977	Chr2	4852770	4855581	Zm00001d002035	Chr2	4821035	4823880	Zm00001eb068120	chr2	5083602	5086546																																	
ast91	16.43		GRMZM2G395114	Chr2	4895674	4900685	Zm00001d002038	Chr2	4861458	4865979	Zm00001eb068160	chr2	5124123	5128764																																	
wakl10	16.45		GRMZM2G095209	Chr2	4900180	4904303	Zm00001d002039	Chr2	4866662	4870005	Zm00001eb068170	chr2	5128532	5132655																																	
prx30	16.53		GRMZM2G443885	Chr2	4994357	4996626	Zm00001d002042	Chr2	4919846	4921440	Zm00001eb068210	chr2	5182496	5184068																																	
dek20	16.94		GRMZM2G081886	Chr2	5069598	5072692	Zm00001d002051	Chr2	5013826	5016702	Zm00001eb068270	chr2	5276473	5279529																																	
cl2945_1	16.96		GRMZM2G082032	Chr2	5073953	5075447	Zm00001d002052	Chr2	5018197	5021343	Zm00001eb068280	chr2	5280848	5283996																																	
cl34175_1	16.98		GRMZM2G082097	Chr2	5088192	5103724	Zm00001d002053	Chr2	5032026	5036327	Zm00001eb068290	chr2	5294319	5299347																																	
pet3	17.00		GRMZM2G177145	Chr2	5103401	5103769	Zm00001d002054	Chr2	5036500	5039237	Zm00001eb068300	chr2	5299155	5301965																																	
A0A1D6DW15	17.02		GRMZM2G334514	Chr2	5103990	5104881	Zm00001d002055	Chr2	5040212	5040760	Zm00001eb068310	chr2	5302769	5303560																																	
A0A1D6DW25	17.04		AC206980.3_FG007	Chr2	5106348	5106923	Zm00001d002057	Chr2	5042430	5043005	Zm00001eb068320	chr2	5305017	5305795																																	
cdt1	17.06		GRMZM2G032209	Chr2	5107108	5112091	Zm00001d002056	Chr2	5042321	5047668	Zm00001eb068330	chr2	5306055	5310282																																	
pco131452a	17.72		GRMZM2G031625	Chr2	5121260	5131848	Zm00001d002059	Chr2	5057784	5059938	Zm00001eb068350	chr2	5320702	5330537																																	
LOC103645845	17.76		GRMZM2G160523	Chr2	5219596	5221366	Zm00001d002063	Chr2	5176357	5177787	Zm00001eb068370	chr2	5438902	5443679																																	
pglcat7	17.80		GRMZM2G160585	Chr2	5235193	5239216	Zm00001d002064	Chr2	5191813	5195757	Zm00001eb068390	chr2	5454352	5458511																																	
mir3	18.00		GRMZM2G166281	Chr2	5275102	5279397	Zm00001d002065	Chr2	5233170	5237006	Zm00001eb068400	chr2	5495785	5499845																																	
irx15	19.00		GRMZM2G096546	Chr2	5306431	5308418	Zm00001d002066	Chr2	5267442	5268449	Zm00001eb068410	chr2	5529723	5531676																																	
cl5953_1	19.20		GRMZM2G055844	Chr2	5379670	5385668	Zm00001d002068	Chr2	5314317	5320223	Zm00001eb068440	chr2	5576701	5582910																																	
GRMZM2G055752	19.24		GRMZM2G055752	Chr2	5429685	5430699	Zm00001d027334	Chr1	3124648	3135817	Zm00001eb068460	chr2	5626938	5627462																																	
Zm00001eb068470	19.26		GRMZM2G400961	Chr2	5465397	5467995	Zm00001d002071	Chr2	5405982	5406236	Zm00001eb068470	chr2	5668648	5675187																																	
Zm00001eb068480	19.28		GRMZM2G400965	Chr2	5473225	5473872	Zm00001d002072	Chr2	5413401	5413963	Zm00001eb068480	chr2	5675935	5676738																																	
Zm00001eb068500	19.30										Zm00001eb068500	chr2	5707591	5708411																																	
LOC100278436	19.41		GRMZM2G474039	Chr2	5512098	5512739	Zm00001d002074	Chr2	5448371	5448682	Zm00001eb068510	chr2	5710774	5711624																																	
ereb197	19.43		GRMZM2G174784	Chr2	5520018	5524385	Zm00001d002075	Chr2	5456239	5459958	Zm00001eb068520	chr2	5718909	5722821																																	
ereb47	20.00		GRMZM2G174917	Chr2	5568515	5570186	Zm00001d002079	Chr2	5505054	5505812	Zm00001eb068530	chr2	5767267	5769005																																	
ring90	20.02		GRMZM2G174926	Chr2	5572149	5578598	Zm00001d002080	Chr2	5508384	5514971	Zm00001eb068540	chr2	5770048	5777741																																	
si486073d01	20.22		GRMZM2G000093	Chr2	5691331	5698273	Zm00001d002082	Chr2	5631271	5638279	Zm00001eb068550	chr2	5893895	5900903																																	
pco095943(114)	20.30		GRMZM2G023163	Chr2	5822431	5826344	Zm00001d002085	Chr2	5765101	5768935	Zm00001eb068580	chr2	6027648	6031578																																	
ubp7	20.32		GRMZM2G023239	Chr2	5828702	5832711	Zm00001d002086	Chr2	5771336	5775212	Zm00001eb068590	chr2	6033910	6038042																																	
cl34132_1a	20.34		GRMZM5G882708	Chr2	5834727	5838794	Zm00001d002087	Chr2	5777235	5781446	Zm00001eb068600	chr2	6039859	6044069																																	
vq13	20.40		GRMZM2G023921	Chr2	5841856	5842734	Zm00001d002088	Chr2	5784528	5785115	Zm00001eb068610	chr2	6047087	6047964																																	
pco071732a	20.42		GRMZM5G892758	Chr2	5844862	5849571	Zm00001d002089	Chr2	5787176	5800531	Zm00001eb068620	chr2	6049798	6063389																																	
LOC103645854	20.47		GRMZM2G071206	Chr2	5859377	5862747																																									
LOC103645856	20.48		GRMZM2G071163	Chr2	5864526	5872228	Zm00001d002090	Chr2	5807146	5814918	Zm00001eb068630	chr2	6069618	6077606																																	
clc6	20.50		GRMZM2G071119	Chr2	5903228	5909987	Zm00001d002091	Chr2	5846187	5852086	Zm00001eb068640	chr2	6108815	6115505																																	
Zm00001eb068650	20.53		GRMZM2G372102	Chr2	5927618	5928373	Zm00001d002093	Chr2	5870323	5870748	Zm00001eb068650	chr2	6132820	6134000																																	
gpm470	20.56		GRMZM2G372074	Chr2	5929773	5931624	Zm00001d002094	Chr2	5872428	5873039	Zm00001eb068660	chr2	6134997	6136220																																	
AY109603	20.58		GRMZM2G070881	Chr2	5930995	5935485	Zm00001d002095	Chr2	5873612	5878134	Zm00001eb068670	chr2	6136221	6140916																																	
emp12	20.70		GRMZM2G023071	Chr2	6020253	6022432	Zm00001d002098	Chr2	5964116	5965554	Zm00001eb068720	chr2	6225755	6228738																																	
cngc4	20.72		GRMZM2G023037	Chr2	6023285	6035773	Zm00001d002099	Chr2	5969116	5978995	Zm00001eb068710	chr2	6224824	6242096																																	
LOC103645859	20.73		GRMZM2G022836	Chr2	6036399	6037703	Zm00001d002100	Chr2	5979615	5981068	Zm00001eb068730	chr2	6231431	6243883																																	
Zm00001eb068760	20.75		GRMZM2G022563	Chr2	6038651	6046071	Zm00001d002103	Chr2	5981831	5989287	Zm00001eb068760	chr2	6244333	6252354																																	
ami4	20.76		GRMZM2G022192	Chr2	6050460	6055029	Zm00001d002104	Chr2	5993672	5998425	Zm00001eb068770	chr2	6256399	6261275																																	
pco119647	20.77		GRMZM2G021635	Chr2	6055539	6059702	Zm00001d002105	Chr2	6001996	6002805	Zm00001eb068780	chr2	6261538	6266019																																	
IDP3972	20.78		GRMZM5G824964	Chr2	6152057	6156146	Zm00001d002115	Chr2	6097422	6101496	Zm00001eb068860	chr2	6360537	6364503																																	
mrpa23	20.78		GRMZM2G072850	Chr2	6172436	6179335	Zm00001d002119	Chr2	6125333	6132308	Zm00001eb068880	chr2	6388344	6395347																																	
ili1	20.79		GRMZM2G072820	Chr2	6191770	6192874	Zm00001d002121	Chr2	6144651	6145983	Zm00001eb068900	chr2	6407804	6408763																																	
TIDP3539	20.80		GRMZM2G072264	Chr2	6197632	6202253	Zm00001d002122	Chr2	6150635	6155146	Zm00001eb068910	chr2	6413586	6418199																																	
pme9	20.90		GRMZM2G352359	Chr2	6316002	6317978	Zm00001d002124	Chr2	6269424	6271525	Zm00001eb068950	chr2	6532116	6534502																																	
miR395d	20.92		zma-MIR395d	Chr2	6322890	6322955	zma-MIR395d	Chr2	6276291	6276356																																					
miR395f	20.93		zma-MIR395f	Chr2	6323546	6323615	zma-MIR395f	Chr2	6276947	6277016																																					
miR395g	20.93		zma-MIR395g	Chr2	6323706	6323771																																									
miR395e	20.94		zma-MIR395e	Chr2	6333011	6333095	zma-MIR395e	Chr2	6286411	6286495																																					
miR395i	20.95		zma-MIR395i	Chr2	6333188	6333257	zma-MIR395i	Chr2	6286588	6286657																																					
miR395h	20.96		zma-MIR395h	Chr2	6333829	6333913																																									
miR395b	20.96		zma-MIR395b	Chr2	6333988	6334101	zma-MIR395b	Chr2	6287388	6287501																																					
miR395a	20.98		zma-MIR395a	Chr2	6334643	6334791	zma-MIR395a	Chr2	6288043	6288191																																					
nrpd2/e2	21.00		GRMZM2G054225	Chr2	6336518	6347954	Zm00001d002125	Chr2	6290891	6302652	Zm00001eb068960	chr2	6553257	6565633																																	
shki1	21.94		GRMZM2G004590	Chr2	6484127	6487480	Zm00001d002128	Chr2	6409519	6412809	Zm00001eb069000	chr2	6672361	6675839																																	
BE640649	21.95		GRMZM2G305007	Chr2	6475023	6484098	Zm00001d002129	Chr2	6412909	6421954	Zm00001eb069010	chr2	6674765	6684979																																	
Zm00001d002131	21.95		GRMZM2G004305	Chr2	6462158	6468707	Zm00001d002131	Chr2	6428322	6429743																																					
orf186 (mt)	21.95																																														
LOC100382878	21.96		GRMZM6G828652	scaffold_153	285	1244	Zm00001d002135	Chr2	6449296	6454805	Zm00001eb069070	chr2	6711963	6717890																																	
propep1	21.97		GRMZM5G899080	Chr2	6583856	6584704	Zm00001d002137	Chr2	6508338	6509353	Zm00001eb069090	chr2	6771378	6772485																																	
Zm00001eb069080	21.97		GRMZM2G010474	Chr2	6571737	6573498	Zm00001d002136	Chr2	6496902	6497840	Zm00001eb069080	chr2	6759772	6761340																																	
propep3	21.98		GRMZM2G339117	Chr2	6597929	6598629	Zm00001d002138	Chr2	6519765	6520292																																					
cl16508_1a	21.99		GRMZM5G829840	Chr2	6642458	6645990	Zm00001d002141	Chr2	6563943	6574240	Zm00001eb069130	chr2	6826979	6837305																																	
Zm00001d002139	21.99		GRMZM5G882427	Chr2	6628481	6630135	Zm00001d002139	Chr2	6550006	6551872	Zm00001eb069110	chr2	6813049	6814994																																	
bzip27	22.00		GRMZM2G131961	Chr2	6719168	6724854	Zm00001d002143	Chr2	6636877	6642835	Zm00001eb069140	chr2	6899841	6905677																																	
epf2	22.10		GRMZM2G431783	Chr2	6737716	6738357	Zm00001d002144	Chr2	6655659	6656357	Zm00001eb069150	chr2	6918600	6919810																																	
LOC103645876	22.12		GRMZM2G138782	Chr2	6821962	6854425	Zm00001d002145	Chr2	6741571	6747368	Zm00001eb069160	chr2	7004561	7010509																																	
cl13411_1b	22.16		GRMZM2G159161	Chr2	6855096	6858224	Zm00001d002146	Chr2	6773725	6776694	Zm00001eb069180	chr2	7036555	7039765																																	
cl3925_1a	22.20						Zm00001d002148	Chr2	6814316	6818482	Zm00001eb069200	chr2	7077409	7081984																																	
aldh10	22.21																																														
Zm00001d002149	22.22		GRMZM2G063519	Chr2	7043786	7046368	Zm00001d002149	Chr2	6819751	6827540	Zm00001eb069220	chr2	7088037	7090619																																	
IDP4073	22.40		GRMZM2G106056	Chr2	6993096	7000975	Zm00001d002154	Chr2	6869196	6875212	Zm00001eb069270	chr2	7132297	7137455																																	
cl3044_1b	22.45		GRMZM2G106105	Chr2	6992704	6995387	Zm00001d002155	Chr2	6874784	6877507	Zm00001eb069280	chr2	7137885	7140459																																	
sgb101	22.50		GRMZM2G106245	Chr2	6988977	6991901	Zm00001d002156	Chr2	6878316	6881153	Zm00001eb069290	chr2	7141311	7144214																																	
ppr14	22.52		GRMZM2G106384	Chr2	6984447	6986625	Zm00001d002157	Chr2	6883711	6885633	Zm00001eb069300	chr2	7145824	7148868																																	
umc1497a	22.54		GRMZM2G106393	Chr2	6982789	6983559	Zm00001d002158	Chr2	6886753	6887019	Zm00001eb069310	chr2	7149737	7150323																																	
npi421a	22.58																																														
npi208c	22.58																																														
umc2403	22.60		GRMZM2G106413	Chr2	6980501	6981214	Zm00001d002159	Chr2	6889076	6889357	Zm00001eb069320	chr2	7152074	7152775																																	
dgk3	22.70		GRMZM2G106578	Chr2	6912729	6917856	Zm00001d002163	Chr2	6959896	6965024	Zm00001eb069350	chr2	7221940	7228281																																	
cl17699_1a	22.76		GRMZM2G379758	Chr2	7095602	7102600	Zm00001d002166	Chr2	7053614	7066223	Zm00001eb069390	chr2	7321183	7329390																																	
IDP5979	22.80		GRMZM2G115705	Chr2	7184094	7187685	Zm00001d002168	Chr2	7088395	7092058	Zm00001eb069410	chr2	7351565	7355742																																	
CL17699_1	22.82		GRMZM2G115598	Chr2	7191858	7195891	Zm00001d002169	Chr2	7094303	7100353	Zm00001eb069420	chr2	7356896	7363498																																	
LOC103645886	22.90		GRMZM2G419290	Chr2	7209507	7213157	Zm00001d002172	Chr2	7110526	7119435	Zm00001eb069460	chr2	7378281	7382025																																	
Zm00001eb069490	22.98		GRMZM2G010962	Chr2	7269655	7271487	Zm00001d002174	Chr2	7239862	7249041	Zm00001eb069490	chr2	7502924	7512297																																	
flr3	23.00		GRMZM2G042055	Chr2	7294589	7297743	Zm00001d002175	Chr2	7264838	7267531	Zm00001eb069500	chr2	7527615	7531876																																	
aaap7	23.01		GRMZM2G175321	Chr2	7310372	7312837	Zm00001d002176	Chr2	7283524	7285960	Zm00001eb069510	chr2	7546615	7549060																																	
IDP8552	23.02		GRMZM2G175288	Chr2	7315383	7322891	Zm00001d002177	Chr2	7287415	7292392	Zm00001eb069520	chr2	7552259	7555502																																	
LOC103645890	23.03		GRMZM2G175258	Chr2	7327413	7331696	Zm00001d002178	Chr2	7300454	7304565	Zm00001eb069530	chr2	7563630	7567612																																	
umc1824a	23.05																																														
LOC103648371	23.07		GRMZM2G422340	Chr2	7427628	7430981	Zm00001d002181	Chr2	7399561	7402797	Zm00001eb069550	chr2	7662383	7666944																																	
pza03747	23.10		GRMZM2G164400	Chr2	7519489	7528034	Zm00001d002184	Chr2	7537954	7546246	Zm00001eb069570	chr2	7801245	7809642																																	
sdg140	23.14		GRMZM2G164277	Chr2	7527529	7531928	Zm00001d002185	Chr2	7546109	7550392	Zm00001eb069580	chr2	7808909	7813658																																	
umc1823	23.20																																														
dv1	23.25		GRMZM2G114861	Chr2	7626633	7631527	Zm00001d002186	Chr2	7609522	7614852	Zm00001eb069600	chr2	7872651	7878101																																	
sda1	23.27		GRMZM2G121074	Chr2	7661318	7666576	Zm00001d002190	Chr2	7649644	7654759	Zm00001eb069620	chr2	7912743	7917905																																	
xth29	23.27		GRMZM2G180870	Chr2	7747315	7749488	Zm00001d002192	Chr2	7733220	7735393	Zm00001eb069640	chr2	7996379	7998404																																	
Zm00001d002191	23.27		GRMZM2G121070	Chr2	7667919	7670828	Zm00001d002191	Chr2	7656052	7658947	Zm00001eb069630	chr2	7919187	7922105																																	
Zm00001d002199	23.28		GRMZM2G454511	Chr2	7945118	7949375	Zm00001d002199	Chr2	8127537	8131717	Zm00001eb069690	chr2	8389816	8394063																																	
LOC103645896	23.28		GRMZM2G168985	Chr2	7846848	7851778	Zm00001d002198	Chr2	7833348	7838132	Zm00001eb069670	chr2	8096469	8101524																																	
LOC118476278	23.28						Zm00001d002198	Chr2	7833348	7838132	Zm00001eb069680	chr2	8293121	8298189																																	
umc1961	23.30		GRMZM2G155217	Chr2	7962630	7965982	Zm00001d002200	Chr2	8145079	8148406	Zm00001eb069700	chr2	8407382	8410729																																	
IDP3869	23.31										Zm00001eb069840	chr2	8571080	8572143																																	
Zm00001d002216	23.32		GRMZM5G823824	Chr2	8183579	8186950	Zm00001d002216	Chr2	8320447	8327199	Zm00001eb069880	chr2	8585821	8595898																																	
hb75	23.33		GRMZM2G001289	Chr2	8289450	8295761	Zm00001d002234	Chr2	8463903	8470216	Zm00001eb070050	chr2	8726215	8732576																																	
Zm00001d002238	23.36		GRMZM2G319998	Chr2	8425511	8426953	Zm00001d002238	Chr2	8598935	8599837																																					
mmp31b	23.38																																														
pco079863	23.40		GRMZM2G012088	Chr2	8551916	8557050	Zm00001d002243	Chr2	8725742	8730885	Zm00001eb070120	chr2	8988064	8993282																																	
cl862_1	23.42		GRMZM2G012628	Chr2	8581774	8586243	Zm00001d002244	Chr2	8756124	8760087	Zm00001eb070130	chr2	9018164	9022465																																	
pks1	23.50		GRMZM2G091302	Chr2	8724139	8731931	Zm00001d002246	Chr2	8903282	8911060	Zm00001eb070150	chr2	9165604	9173285																																	
mab31	23.52																																		Zm00008a006240	chr2	7994778	7995320									
cad2	23.53		GRMZM2G443445	Chr2	8784044	8786263	Zm00001d002250	Chr2	8963531	8979381	Zm00001eb070170	chr2	9225725	9228152																																	
cl12076_1a	23.54		GRMZM2G002559	Chr2	8812128	8816749	Zm00001d002252	Chr2	8982467	8987139	Zm00001eb070190	chr2	9244793	9249447																																	
LOC100193258	23.55		GRMZM2G302712	Chr2	8818261	8819082	Zm00001d002253	Chr2	8988852	8989265	Zm00001eb070200	chr2	9250862	9251772																																	
ss2	23.58		GRMZM5G897776	Chr2	8893672	8894686	Zm00001d002256	Chr2	9055230	9066450	Zm00001eb070230	chr2	9317725	9328657																																	
atg8c	23.60		GRMZM2G076826	Chr2	8901390	8904605	Zm00001d002257	Chr2	9067800	9076270	Zm00001eb070240	chr2	9335340	9338253																																	
miR171c	23.68		zma-MIR171c	Chr2	8908060	8908177	zma-MIR171c	Chr2	9079646	9079763																																					
ammt1	23.70		GRMZM5G876898	Chr2	8909755	8912742	Zm00001d002258	Chr2	9081347	9084382	Zm00001eb070250	chr2	9343742	9346810																																	
C0PJM7	23.71		GRMZM2G076539	Chr2	8913765	8917442	Zm00001d002259	Chr2	9085387	9088906	Zm00001eb070260	chr2	9347873	9351267																																	
IDP7355	23.72		GRMZM2G076239	Chr2	8918192	8921515	Zm00001d002260	Chr2	9089887	9093334	Zm00001eb070270	chr2	9352213	9355778																																	
IDP7968	23.73		GRMZM2G148998	Chr2	8957137	8959247	Zm00001d002262	Chr2	9128245	9128913	Zm00001eb070290	chr2	9390521	9395302																																	
Zm00001eb070280	23.73		GRMZM5G853854	Chr2	8922712	8926864	Zm00001d002261	Chr2	9094317	9098515	Zm00001eb070280	chr2	9356706	9360966																																	
pao2	23.75		GRMZM2G000052	Chr2	8996296	9001551	Zm00001d002266	Chr2	9167395	9172599	Zm00001eb070310	chr2	9429781	9435001																																	
Zm00001d002267	23.76		GRMZM2G300500	Chr2	9003404	9005619	Zm00001d002267	Chr2	9174693	9176754	Zm00001eb070320	chr2	9436920	9439187																																	
hak28	23.77		GRMZM2G000047	Chr2	9008336	9011170	Zm00001d002269	Chr2	9179578	9183463	Zm00001eb070330	chr2	9441863	9445882																																	
IDP7628	23.78										Zm00001eb070340	chr2	9446150	9447205																																	
cl8900_1	23.80		GRMZM2G000039	Chr2	9018122	9027319	Zm00001d002272	Chr2	9189239	9198503	Zm00001eb070360	chr2	9451510	9460941																																	
AY112075	24.00		GRMZM2G084046	Chr2	9088746	9092553	Zm00001d002274	Chr2	9274911	9278376	Zm00001eb070390	chr2	9537038	9540702																																	
mrpa5	26.00		GRMZM2G084181	Chr2	9118396	9130485	Zm00001d002275	Chr2	9302717	9316367	Zm00001eb070400	chr2	9565132	9579223																																	
bag3	26.04		GRMZM2G383122	Chr2	9132263	9137089	Zm00001d002277	Chr2	9318025	9322925	Zm00001eb070420	chr2	9583582	9584688																																	
pco084743	26.06		GRMZM2G107711	Chr2	9269936	9270828	Zm00001d002278	Chr2	9427786	9430561	Zm00001eb070430	chr2	9692256	9693734																																	
mybr50	26.10		GRMZM2G337011	Chr2	9316108	9317023	Zm00001d002281	Chr2	9495581	9496234																																					
flr8	26.10		GRMZM2G041518	Chr2	9317664	9321621	Zm00001d002282	Chr2	9498177	9500738	Zm00001eb070450	chr2	9759532	9763627																																	
Zm00001d002283	26.12		GRMZM2G165060	Chr2	9359246	9363105	Zm00001d002283	Chr2	9543623	9547268	Zm00001eb070460	chr2	9805826	9809758																																	
