Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence	source_file	map_id	linkage_group	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Ki11-REFERENCE-NAM-1.0_gene_model	Zm-Ki11-REFERENCE-NAM-1.0_chr	Zm-Ki11-REFERENCE-NAM-1.0_start	Zm-Ki11-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end
LOC103630827	5.53		GRMZM2G055880	Chr1	3441711	3445070					Zm00001d027354	Chr1	3544521	3549369	Zm00001eb001070	chr1	3535438	3540435																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
IDP6908	5.55		GRMZM2G055698	Chr1	3462300	3464276					Zm00001d027355	Chr1	3573479	3575207	Zm00001eb001080	chr1	3564435	3566097																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
fus6	5.60		GRMZM2G062210	Chr1	3548036	3558270					Zm00001d027359	Chr1	3651033	3661251	Zm00001eb001110	chr1	3642003	3652191																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001eb001120	5.62		GRMZM2G088482	Chr1	3658217	3661127					Zm00001d027361	Chr1	3741739	3744408	Zm00001eb001120	chr1	3732742	3735652																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
dpr1	5.70		GRMZM2G044247	Chr1	3642611	3645502					Zm00001d027363	Chr1	3775217	3778050	Zm00001eb001140	chr1	3766150	3769278																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
arm30	5.72		GRMZM2G029713	Chr1	3693187	3697975					Zm00001d027365	Chr1	3799515	3801185	Zm00001eb001150	chr1	3787682	3792482																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
pmp1	6.48		GRMZM2G029824	Chr1	3701760	3704275					Zm00001d027366	Chr1	3805137	3807525	Zm00001eb001170	chr1	3796239	3798782																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
pyrd1	6.50		GRMZM2G320099	Chr1	3704159	3706769					Zm00001d027367	Chr1	3807343	3810146	Zm00001eb001180	chr1	3797680	3801321																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
GRMZM2G030299	6.54		GRMZM2G030299	Chr1	3723964	3728081					Zm00001d027369	Chr1	3842248	3847295	Zm00001eb001200	chr1	3833378	3837494																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
ereb214	6.56		GRMZM2G320111	Chr1	3728321	3729045					Zm00001d027369	Chr1	3842248	3847295	Zm00001eb001210	chr1	3837589	3838704																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027371	7.96		GRMZM2G085909	Chr1	3824197	3828489					Zm00001d027371	Chr1	3912856	3917063	Zm00001eb001240	chr1	3903971	3908178																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cdc2	8.00		GRMZM2G008327	Chr1	3872113	3877700					Zm00001d027373	Chr1	3960300	3964921	Zm00001eb001260	chr1	3951421	3956063																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cyc41	8.01		GRMZM2G308570	Chr1	3886166	3899531					Zm00001d027376	Chr1	3974143	3987696	Zm00001eb001290	chr1	3965228	3975390																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cl16599_1a	8.03										Zm00001d027380	Chr1	3988430	3996967	Zm00001eb001330	chr1	3984280	3984822																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027383	8.04		GRMZM2G087207	Chr1	4011889	4016576					Zm00001d027383	Chr1	4110011	4114671	Zm00001eb001340	chr1	4078810	4083607																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
si618024d08	8.05		GRMZM2G387837	Chr1	4016858	4019283					Zm00001d027384	Chr1	4115013	4117719	Zm00001eb001350	chr1	4083900	4086535																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
IDP1464	8.06		GRMZM2G013634	Chr1	4031958	4034079					Zm00001d027385	Chr1	4118697	4120755	Zm00001eb001360	chr1	4087436	4089632																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
pld15	8.08		GRMZM2G312438	Chr1	4034105	4039749					Zm00001d027386	Chr1	4121780	4126391	Zm00001eb001370	chr1	4090633	4095211																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
sbt62	8.09		GRMZM2G013986	Chr1	4046390	4049199					Zm00001d027387	Chr1	4133373	4135619	Zm00001eb001390	chr1	4101879	4104744																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
nad5 (homolog)	8.10		GRMZM2G014382	Chr1	4055334	4063464					Zm00001d027389	Chr1	4149732	4149992	Zm00001eb001400	chr1	4111310	4118908																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cals9	8.20		GRMZM2G453794	Chr1	4173400	4187541					Zm00001d027392	Chr1	4220852	4296236	Zm00001eb001430	chr1	4173806	4249156																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
ppr3	8.22		GRMZM2G167568	Chr1	4204277	4206621					Zm00001d027393	Chr1	4317978	4319270	Zm00001eb001440	chr1	4270812	4273294																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
his406	8.90		GRMZM2G181153	Chr1	4234226	4235315					Zm00001d027394	Chr1	4340135	4340790																						maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
nactf78	9.00		GRMZM2G406204	Chr1	4241971	4245996					Zm00001d027395	Chr1	4341041	4351530	Zm00001eb001460	chr1	4293004	4304802																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027399	9.02		GRMZM2G169402	Chr1	4281721	4284083					Zm00001d027399	Chr1	4402312	4404440	Zm00001eb001470	chr1	4355214	4357396																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
tho1	10.08		GRMZM2G473389	Chr1	4284638	4287038					Zm00001d027400	Chr1	4405004	4406685	Zm00001eb001480	chr1	4358163	4359539																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
si707050h06a	10.10		GRMZM2G049031	Chr1	4299822	4307400					Zm00001d027401	Chr1	4417538	4425832	Zm00001eb001490	chr1	4370484	4378831																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027402	10.12		GRMZM2G049216	Chr1	4299402	4302590					Zm00001d027402	Chr1	4417830	4421059	Zm00001eb001500	chr1	4370689	4373976																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027403	10.14		GRMZM2G104468	Chr1	4347559	4352147					Zm00001d027403	Chr1	4494975	4499451	Zm00001eb001510	chr1	4447853	4452527																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
mib1	11.00		GRMZM2G136859	Chr1	4439061	4441061					Zm00001d027405	Chr1	4536701	4538190	Zm00001eb001530	chr1	4489656	4491331																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
abi8	11.00		GRMZM2G082227	Chr1	4541352	4542978					Zm00001d027409	Chr1	4661492	4662475	Zm00001eb001550	chr1	4613829	4616572																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
prx15	11.02		GRMZM2G341934	Chr1	4594772	4598264					Zm00001d027411	Chr1	4718946	4722343	Zm00001eb001560	chr1	4672210	4675614																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
dcl101	11.30		GRMZM2G040762	Chr1	4600841	4608248					Zm00001d027412	Chr1	4724456	4736832	Zm00001eb001570	chr1	4678241	4689963																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
atg1a	12.00		GRMZM2G105415	Chr1	4709171	4714557					Zm00001d027415	Chr1	4832874	4838381	Zm00001eb001590	chr1	4786101	4791613																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
bhlh140	12.18		GRMZM2G475289	Chr1	4742268	4744173					Zm00001d027419	Chr1	4891941	4894990	Zm00001eb001630	chr1	4844238	4848250																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
IDP2420	12.20		GRMZM2G176820	Chr1	4751568	4754549					Zm00001d027421	Chr1	4900834	4903371	Zm00001eb001640	chr1	4854128	4856665																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027422	12.21		GRMZM2G176840	Chr1	4758335	4760646					Zm00001d027422	Chr1	4907157	4909468	Zm00001eb001650	chr1	4860147	4868040																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
fnsi2	12.22		GRMZM2G475380	Chr1	4760983	4765716					Zm00001d027423	Chr1	4909652	4914685																						maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001eb001660	12.24		GRMZM2G026706	Chr1	4826534	4828427					Zm00001d027424	Chr1	4949860	4952016	Zm00001eb001660	chr1	4903163	4904730																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
zag6	13.00		GRMZM2G026223	Chr1	4855703	4871281					Zm00001d027425	Chr1	4979131	4994850	Zm00001eb001670	chr1	4932248	4948340																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
uce3	13.30		GRMZM2G070047	Chr1	4974957	4978299					Zm00001d027427	Chr1	5095291	5098140	Zm00001eb001680	chr1	5048745	5051733																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
IDP658	13.50		GRMZM2G070259	Chr1	4986318	4988531					Zm00001d027429	Chr1	5106818	5108654	Zm00001eb001700	chr1	5060152	5061950																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cl250_1a	13.57		GRMZM2G159427	Chr1	4990826	4996614					Zm00001d027430	Chr1	5111247	5116316	Zm00001eb001710	chr1	5064533	5070054																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
knox1	14.00		GRMZM2G159431	Chr1	5003070	5007708					Zm00001d027431	Chr1	5123182	5127784	Zm00001eb001720	chr1	5076499	5081101																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
hb30	14.45		GRMZM2G327059	Chr1	5080780	5086704					Zm00001d027435	Chr1	5202748	5208577	Zm00001eb001770	chr1	5156079	5161908																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
flr14	14.47		GRMZM2G165422	Chr1	5238057	5241101					Zm00001d027436	Chr1	5328311	5330875	Zm00001eb001780	chr1	5281432	5285006																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
flr16	14.70		GRMZM2G119736	Chr1	5319578	5321574					Zm00001d027439	Chr1	5412144	5413568	Zm00001eb001810	chr1	5365242	5367385																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
pgl106	14.88		GRMZM2G119494	Chr1	5338770	5342488					Zm00001d027441	Chr1	5431259	5434466	Zm00001eb001830	chr1	5384580	5388305																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
IDP3811	14.88		GRMZM2G119471	Chr1	5341114	5343424					Zm00001d027442	Chr1	5434308	5435871	Zm00001eb001840	chr1	5386927	5389230																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
hyd6	14.89		GRMZM2G090051	Chr1	5373808	5376230					Zm00001d027443	Chr1	5463952	5466250	Zm00001eb001850	chr1	5417359	5420144																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
hyd8	14.89		GRMZM5G826824	Chr1	6347072	6348308																														maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
IDP755	14.90		GRMZM2G089976	Chr1	5380427	5387724					Zm00001d027444	Chr1	5469651	5477988	Zm00001eb001860	chr1	5423774	5431320																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
umc1292	14.91		GRMZM2G176604	Chr1	5401254	5405109					Zm00001d027446	Chr1	5491481	5495299	Zm00001eb001880	chr1	5444640	5448668																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
umc2523	14.91		GRMZM5G899119	Chr1	6363156	6367315					Zm00001d027447	Chr1	5496540	5500644	Zm00001eb001890	chr1	5449946	5454011																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC100194359	14.91		GRMZM2G089860	Chr1	5390620	5398053					Zm00001d027445	Chr1	5481138	5487574	Zm00001eb001870	chr1	5434423	5440930																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
csu680a	14.92		GRMZM5G841360	Chr1	6387088	6392531					Zm00001d027450	Chr1	5528958	5535135	Zm00001eb001910	chr1	5479359	5493877																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
ofp1	14.92		GRMZM2G055737	Chr1	5511015	5512341					Zm00001d027453	Chr1	5589770	5590513	Zm00001eb001920	chr1	5542959	5544109																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027449	14.92		GRMZM2G176548	Chr1	5434823	5436653					Zm00001d027449	Chr1	5525424	5526840	Zm00001eb001900	chr1	5471781	5480336																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC100274981	14.92		GRMZM2G176558	Chr1	5428401	5433218					Zm00001d027448	Chr1	5518494	5523341	Zm00001eb001900	chr1	5471781	5480336																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
GRMZM2G055704	14.94		GRMZM2G055704	Chr1	5524395	5526067					Zm00001d027454	Chr1	5603127	5604467	Zm00001eb001930	chr1	5556476	5557793																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cipk9	14.98		GRMZM2G055575	Chr1	5531757	5536441					Zm00001d027455	Chr1	5610415	5614949	Zm00001eb001940	chr1	5563658	5568308																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
pba1	15.00		GRMZM2G177508	Chr1	5582721	5584189					Zm00001d027456	Chr1	5661737	5663089	Zm00001eb001950	chr1	5615012	5616448																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
KJ682451	15.48		GRMZM2G025552	Chr1	5625359	5627752					Zm00001d027458	Chr1	5701680	5704055	Zm00001eb001980	chr1	5655021	5657414																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
nactf33	15.50		GRMZM2G025642	Chr1	5629470	5636419					Zm00001d027459	Chr1	5706025	5712786	Zm00001eb001990	chr1	5659149	5666171																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
gpm330	15.80		GRMZM2G319022	Chr1	5713200	5734294					Zm00001d027460	Chr1	5799244	5810862	Zm00001eb002000	chr1	5743584	5766324																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
bzip114	16.00		GRMZM2G428184	Chr1	5738361	5741644					Zm00001d027461	Chr1	5816871	5819671	Zm00001eb002010	chr1	5769996	5774406																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
fha1	16.73		GRMZM2G129243	Chr1	5741207	5746550					Zm00001d027462	Chr1	5819752	5825029	Zm00001eb002020	chr1	5772493	5778595																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027463	16.75		GRMZM2G371137	Chr1	5803454	5808250					Zm00001d027463	Chr1	5883718	5886868	Zm00001eb002030	chr1	5836552	5841719																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
kea5	16.80		GRMZM2G040158	Chr1	5813938	5826524					Zm00001d027466	Chr1	5893819	5906194	Zm00001eb002040	chr1	5847054	5859789																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
gpm280a	16.86		GRMZM2G105571	Chr1	5867062	5870869					Zm00001d027468	Chr1	5943755	5947624	Zm00001eb002060	chr1	5897030	5900917																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027469	16.88										Zm00001d027469	Chr1	6020779	6023318	Zm00001eb002070	chr1	5974073	5976558																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
fla1	16.90		GRMZM2G065718	Chr1	5946643	5948328					Zm00001d027471	Chr1	6034724	6035902	Zm00001eb002090	chr1	5987621	5991591																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cals1	16.92		GRMZM2G180951	Chr1	5980938	6001059					Zm00001d027472	Chr1	6068283	6161610	Zm00001eb002100	chr1	6021571	6114922																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
npi415	16.93																																			maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
umc1041	17.00		GRMZM2G448701	Chr1	6148853	6149887					Zm00001d027477	Chr1	6237666	6238642																						maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001eb002170	17.02		GRMZM2G143588	Chr1	6164241	6168759					Zm00001d027479	Chr1	6246862	6251356	Zm00001eb002170	chr1	6200061	6204667																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cdpk36	17.03		GRMZM2G032852	Chr1	6187339	6192559					Zm00001d027480	Chr1	6270311	6275109	Zm00001eb002180	chr1	6223600	6228409																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
ring3	17.05		GRMZM2G321041	Chr1	6211041	6212064					Zm00001d027483	Chr1	6293847	6294413	Zm00001eb002200	chr1	6243871	6247902																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cl2088_1	17.06		GRMZM2G032409	Chr1	6213706	6218397					Zm00001d027484	Chr1	6296235	6300940	Zm00001eb002220	chr1	6249500	6254299																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
